,Compound,Negative,Neutral,Positive,Tweets Ago
0,0.5719,0.837,0.0,0.163,1
1,-0.0258,0.948,0.052,0.0,2
2,0.4588,0.833,0.0,0.167,3
3,0.2263,0.863,0.0,0.137,4
4,-0.2023,0.699,0.165,0.136,5
5,-0.0258,0.642,0.155,0.203,6
6,0.541,0.845,0.0,0.155,7
7,0.3774,0.681,0.088,0.231,8
8,-0.34,0.902,0.098,0.0,9
9,0.4753,0.808,0.0,0.192,10
10,0.6124,0.597,0.138,0.264,11
11,0.0,1.0,0.0,0.0,12
12,0.0,1.0,0.0,0.0,13
13,0.8074,0.52,0.0,0.48,14
14,0.0,1.0,0.0,0.0,15
15,-0.4005,0.863,0.137,0.0,16
16,0.3612,0.839,0.0,0.161,17
17,0.6369,0.819,0.0,0.181,18
18,-0.4019,0.837,0.163,0.0,19
19,0.0,1.0,0.0,0.0,20
20,0.0,1.0,0.0,0.0,21
21,0.0,1.0,0.0,0.0,22
22,0.0,1.0,0.0,0.0,23
23,0.128,0.923,0.0,0.077,24
24,0.0,1.0,0.0,0.0,25
25,0.0,1.0,0.0,0.0,26
26,-0.4588,0.857,0.143,0.0,27
27,0.5413,0.811,0.0,0.189,28
28,0.0,1.0,0.0,0.0,29
29,0.8402,0.667,0.0,0.333,30
30,0.0,1.0,0.0,0.0,31
31,0.3802,0.667,0.1,0.233,32
32,0.6369,0.794,0.0,0.206,33
33,-0.2263,0.84,0.16,0.0,34
34,-0.0258,0.561,0.224,0.215,35
35,0.5719,0.871,0.0,0.129,36
36,-0.7096,0.619,0.275,0.107,37
37,0.2003,0.755,0.104,0.141,38
38,0.5719,0.73,0.0,0.27,39
39,-0.2869,0.734,0.158,0.108,40
40,-0.296,0.891,0.109,0.0,41
41,0.0,1.0,0.0,0.0,42
42,0.3802,0.899,0.0,0.101,43
43,0.2732,0.877,0.0,0.123,44
44,0.5994,0.855,0.0,0.145,45
45,0.0,1.0,0.0,0.0,46
46,0.4019,0.863,0.0,0.137,47
47,0.0,0.722,0.139,0.139,48
48,0.0258,0.922,0.0,0.078,49
49,0.0498,0.742,0.105,0.152,50
50,0.5423,0.696,0.0,0.304,51
51,0.5423,0.711,0.075,0.213,52
52,0.8908,0.602,0.0,0.398,53
53,-0.2263,0.921,0.079,0.0,54
54,0.2732,0.905,0.0,0.095,55
55,-0.2023,0.733,0.151,0.116,56
56,0.6801,0.663,0.0,0.337,57
57,0.4588,0.786,0.0,0.214,58
58,0.34,0.888,0.0,0.112,59
59,0.5719,0.837,0.0,0.163,60
60,0.6476,0.602,0.0,0.398,61
61,0.0258,0.948,0.0,0.052,62
62,0.4404,0.854,0.0,0.146,63
63,-0.5719,0.761,0.239,0.0,64
64,0.4588,0.88,0.0,0.12,65
65,0.0,1.0,0.0,0.0,66
66,0.0,1.0,0.0,0.0,67
67,0.6808,0.804,0.0,0.196,68
68,0.7003,0.799,0.0,0.201,69
69,-0.5994,0.755,0.245,0.0,70
70,0.0,1.0,0.0,0.0,71
71,0.5719,0.861,0.0,0.139,72
72,0.5719,0.861,0.0,0.139,73
73,0.0,1.0,0.0,0.0,74
74,0.0,1.0,0.0,0.0,75
75,-0.3818,0.88,0.12,0.0,76
76,0.5719,0.861,0.0,0.139,77
77,-0.4588,0.625,0.227,0.148,78
78,0.0,1.0,0.0,0.0,79
79,0.0,1.0,0.0,0.0,80
80,0.9134,0.491,0.067,0.442,81
81,0.0,1.0,0.0,0.0,82
82,0.3612,0.878,0.0,0.122,83
83,0.0,1.0,0.0,0.0,84
84,0.5719,0.829,0.0,0.171,85
85,0.4019,0.623,0.156,0.222,86
86,-0.7783,0.673,0.327,0.0,87
87,0.7717,0.472,0.0,0.528,88
88,0.0,1.0,0.0,0.0,89
89,0.0,1.0,0.0,0.0,90
90,0.0,1.0,0.0,0.0,91
91,0.8986,0.423,0.0,0.577,92
92,0.0,1.0,0.0,0.0,93
93,-0.8402,0.667,0.333,0.0,94
94,0.0,1.0,0.0,0.0,95
95,-0.6808,0.73,0.219,0.051,96
96,0.7717,0.732,0.0,0.268,97
97,0.6239,0.806,0.0,0.194,98
98,0.0,1.0,0.0,0.0,99
99,0.7579,0.755,0.0,0.245,100
